"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model.nlogo"
"calibration"
"11/24/2024 17:54:31:125 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","0","4"
"[run number]","number-of-workers","number-of-teams","movement-across-teams","share-of-presentees","exogenous-sickness","contagiousness","severity","recovery-days","slower-recovery","immunity-days","max-sick-leave-days","[step]","mean [infections] of turtles"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","155","0.865"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","155","0.85"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","175","0.94"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","195","0.165"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","159","0.865"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","179","0.94"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","159","0.885"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","199","0.22"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","163","0.87"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","167","0.865"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","203","0.265"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","183","0.94"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","167","0.87"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","187","0.94"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","207","0.345"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","163","0.89"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","223","0.015"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","171","0.87"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","191","0.94"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","211","0.425"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","167","0.9"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","171","0.865"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","195","0.94"
"3","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","171","0.91"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","175","0.875"
"4","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","215","0.51"
"2","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","227","0.03"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","175","0.865"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","199","0.945"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","179","0.875"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","179","0.875"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","203","0.955"
"1","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","183","0.88"
"6","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","207","0.955"
"5","200","5","0.5","0.51","0.001","0.015","0.3","5","0.67","65","260","183","0.88"
